Airport_name,Airport_code,Destination_name,Destination_code,Airline,Duration,Flights_per_day,Weekdays,
Gdańsk Lech Wałęsa Airport,GDN,Dublin Airport,DUB,Ryanair,2h 35m,0-1,S M T W T F S
Gdańsk Lech Wałęsa Airport,GDN,Haugesund Karmoy,HAU,Wizz Air,1h 50m,0-1,S M T W T F S
Gdańsk Lech Wałęsa Airport,GDN,Liverpool Airport,LPL,Wizz Air,2h 40m,0-1,S M T W T F S
Gdańsk Lech Wałęsa Airport,GDN,Pisa International Airport,PSA,Ryanair,2h 20m,0-1,S M T W T F S
Gdańsk Lech Wałęsa Airport,GDN,Trondheim Vaernes,TRD,Wizz Air,1h 55m,0-1,S M T W T F S
Gdańsk Lech Wałęsa Airport,GDN,Milan Malpensa Airport,MXP,Wizz Air,2h 15m,0-1,S M T W T F S
Gdańsk Lech Wałęsa Airport,GDN,Zadar Airport,ZAD,Ryanair,2h 5m,0-1,S M T W T F S
Gdańsk Lech Wałęsa Airport,GDN,Aarhus,AAR,Ryanair,N/A,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Warsaw Chopin Airport,WAW,LOT,0h 55m,6,S M T W T F S
Copernicus Airport Wrocław,WRO,Frankfurt Airport,FRA,Air Dolomiti,1h 20m,4,S M T W T F S
Copernicus Airport Wrocław,WRO,Munich Airport,MUC,Lufthansa,1h 10m,2-3,S M T W T F S
Copernicus Airport Wrocław,WRO,Schiphol,AMS,KLM,1h 45m,2,S M T W T F S
Copernicus Airport Wrocław,WRO,Stansted,STN,Ryanair,2h 10m,1-3,S M T W T F S
Copernicus Airport Wrocław,WRO,Orio al Serio International Airport,BGY,Ryanair,1h 45m,1-2,S M T W T F S
Copernicus Airport Wrocław,WRO,Bologna Guglielmo Marconi Airport,BLQ,Ryanair,1h 50m,0-2,S M T W T F S
Copernicus Airport Wrocław,WRO,Málaga Airport,AGP,Ryanair,3h 40m,0-2,S M T W T F S
Copernicus Airport Wrocław,WRO,Luton,LTN,Wizz Air,2h 18m,1,S M T W T F S
Copernicus Airport Wrocław,WRO,Malta International Airport,MLA,Ryanair,2h 45m,1,S M T W T F S
Copernicus Airport Wrocław,WRO,Ciampino,CIA,Ryanair,2h 0m,1,S M T W T F S
Copernicus Airport Wrocław,WRO,Beauvais–Tillé Airport,BVA,Ryanair,2h 0m,1,S M T W T F S
Copernicus Airport Wrocław,WRO,Copenhagen Airport,CPH,SAS,1h 15m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Zadar Airport,ZAD,Ryanair,1h 35m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Girona,GRO,Ryanair,2h 30m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Gdańsk Lech Wałęsa Airport,GDN,Ryanair,1h 0m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Nottingham Airport,EMA,Ryanair,2h 10m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Alicante–Elche Miguel Hernández Airport,ALC,Ryanair,3h 10m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Edinburgh Airport,EDI,Ryanair,2h 35m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Dublin Airport,DUB,Ryanair,2h 35m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Dubrovnik Airport,DBV,Ryanair,1h 45m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Brussels South Charleroi Airport,CRL,Ryanair,1h 45m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Athens International Airport,ATH,Ryanair,2h 35m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Palma De Mallorca Airport,PMI,Ryanair,2h 50m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Treviso Airport,TSF,Ryanair,1h 35m,0-2,S M T W T F S
Copernicus Airport Wrocław,WRO,Falcone Borsellino Airport,PMO,Ryanair,2h 30m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Pisa International Airport,PSA,Ryanair,1h 55m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Torp,TRF,Ryanair,1h 50m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Valencia Airport,VLC,Ryanair,3h 5m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Zurich Airport,ZRH,SWISS,1h 40m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Gatwick,LGW,Wizz Air UK,2h 25m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Shannon,SNN,Ryanair,2h 45m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Bari Airport,BRI,Wizz Air,2h 0m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,EuroAirport Basel Mulhouse Freiburg,BSL,Wizz Air,1h 35m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Corfu International Airport,CFU,Ryanair,2h 15m,0-2,S M T W T F S
Copernicus Airport Wrocław,WRO,Bristol Airport,BRS,Ryanair,2h 20m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,El Prat Airport,BCN,Wizz Air,2h 40m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Chania International Airport,CHQ,Ryanair,2h 50m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Baneasa,BBU,Wizz Air,1h 50m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Leeds Bradford,LBA,Ryanair,N/A,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Paphos International Airport,PFO,Ryanair,3h 35m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Rijeka,RJK,Ryanair,1h 30m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Cote D Azur Airport,NCE,Wizz Air,2h 0m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Sofia Airport,SOF,Ryanair,2h 0m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Split Airport,SPU,Wizz Air,1h 40m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Barajas,MAD,Wizz Air,3h 10m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Eindhoven Airport,EIN,Wizz Air,1h 40m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Podgorica,TGD,Ryanair,1h 50m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Casale,BDS,Ryanair,2h 5m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Inezgane Airport,AGA,Ryanair,4h 35m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Lamezia Terme,SUF,Ryanair,2h 25m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Chisinau International Airport,RMO,Wizz Air Malta,1h 50m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Tirana International Airport Nënë Tereza,TIA,Wizz Air Malta,1h 55m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Pescara,PSR,Ryanair,1h 55m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Bournemouth,BOH,Ryanair,2h 15m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Porto Airport,OPO,Ryanair,3h 30m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Budapest Ferenc Liszt International Airport,BUD,Wizz Air,1h 5m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Newcastle International Airport,NCL,Ryanair,2h 20m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Naples International Airport,NAP,Ryanair,2h 5m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Marseille Provence Airport,MRS,Ryanair,2h 20m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Manchester Airport,MAN,Ryanair,2h 15m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Kutaisi,KUT,Wizz Air,3h 30m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Liverpool Airport,LPL,Ryanair,2h 15m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Larnaca Airport,LCA,Wizz Air,3h 20m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Lisbon Airport,LIS,Ryanair,4h 0m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Glasgow International Airport,GLA,Ryanair,2h 30m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Incheon International Airport,ICN,LOT,11h 20m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Stockholm Arlanda Airport,ARN,Ryanair,1h 45m,0-1,S M T W T F S
Copernicus Airport Wrocław,WRO,Gran Canaria Airport,LPA,Wizz Air,5h 30m,per day,S M T W T F S
Copernicus Airport Wrocław,WRO,Seville Airport,SVQ,Ryanair,3h 25m,per day,S M T W T F S
Copernicus Airport Wrocław,WRO,Catania Fontanarossa Airport,CTA,Wizz Air,2h 35m,per day,S M T W T F S
Copernicus Airport Wrocław,WRO,Ohrid,OHD,Wizz Air,1h 55m,per day,S M T W T F S
Katowice Airport,KTW,Warsaw Chopin Airport,WAW,LOT,0h 50m,2-4,S M T W T F S
Katowice Airport,KTW,Dortmund,DTM,Wizz Air,1h 45m,3,S M T W T F S
Katowice Airport,KTW,Frankfurt Airport,FRA,Lufthansa,1h 45m,2-3,S M T W T F S
Katowice Airport,KTW,Luton,LTN,Wizz Air,2h 28m,1-2,S M T W T F S
Katowice Airport,KTW,Orio al Serio International Airport,BGY,Ryanair,1h 45m,1-3,S M T W T F S
Katowice Airport,KTW,Stansted,STN,Ryanair,2h 30m,1-2,S M T W T F S
Katowice Airport,KTW,Catania Fontanarossa Airport,CTA,Wizz Air,2h 30m,0-2,S M T W T F S
Katowice Airport,KTW,Eindhoven Airport,EIN,Wizz Air,1h 55m,1-2,S M T W T F S
Katowice Airport,KTW,Malta International Airport,MLA,Wizz Air,2h 45m,0-2,S M T W T F S
Katowice Airport,KTW,Fiumicino,FCO,Wizz Air,2h 5m,0-2,S M T W T F S
Katowice Airport,KTW,Alghero,AHO,Ryanair,2h 20m,0-1,S M T W T F S
Katowice Airport,KTW,Alicante–Elche Miguel Hernández Airport,ALC,Wizz Air,3h 20m,0-2,S M T W T F S
Katowice Airport,KTW,Athens International Airport,ATH,Ryanair,2h 30m,0-2,S M T W T F S
Katowice Airport,KTW,Oslo Gardermoen Airport,OSL,Ryanair,2h 20m,0-1,S M T W T F S
Katowice Airport,KTW,Dublin Airport,DUB,Ryanair,2h 45m,0-1,S M T W T F S
Katowice Airport,KTW,El Prat Airport,BCN,Wizz Air,2h 50m,0-1,S M T W T F S
Katowice Airport,KTW,Tenerife South Airport,TFS,Wizz Air,5h 50m,0-1,S M T W T F S
Katowice Airport,KTW,Burgas,BOJ,Wizz Air,2h 0m,0-1,S M T W T F S
Katowice Airport,KTW,Podgorica,TGD,Wizz Air,1h 45m,0-1,S M T W T F S
Katowice Airport,KTW,Madeira Airport,FNC,Wizz Air,5h 15m,0-1,S M T W T F S
Katowice Airport,KTW,Bari Airport,BRI,Ryanair,2h 0m,0-1,S M T W T F S
Katowice Airport,KTW,Chisinau International Airport,RMO,Wizz Air,1h 40m,0-1,S M T W T F S
Katowice Airport,KTW,Keflavík International Airport,KEF,Wizz Air,4h 25m,0-1,S M T W T F S
Katowice Airport,KTW,Treviso Airport,TSF,Ryanair,1h 40m,0-1,S M T W T F S
Katowice Airport,KTW,Paphos International Airport,PFO,Ryanair,3h 5m,0-1,S M T W T F S
Katowice Airport,KTW,Manchester Airport,MAN,Ryanair,2h 45m,0-1,S M T W T F S
Katowice Airport,KTW,Barajas,MAD,Wizz Air,3h 30m,0-1,S M T W T F S
Katowice Airport,KTW,Liverpool Airport,LPL,Wizz Air,2h 40m,0-1,S M T W T F S
Katowice Airport,KTW,Larnaca Airport,LCA,Wizz Air,3h 15m,0-1,S M T W T F S
Katowice Airport,KTW,Kutaisi,KUT,Wizz Air,3h 15m,0-1,S M T W T F S
Katowice Airport,KTW,Pisa International Airport,PSA,Wizz Air,1h 55m,0-1,S M T W T F S
Katowice Airport,KTW,Split Airport,SPU,Wizz Air,1h 40m,0-1,S M T W T F S
Katowice Airport,KTW,Tirana International Airport Nënë Tereza,TIA,Wizz Air,1h 50m,0-1,S M T W T F S
Katowice Airport,KTW,Brussels South Charleroi Airport,CRL,Ryanair,2h 0m,0-1,S M T W T F S
Katowice Airport,KTW,Reggio Calabria,REG,Ryanair,2h 20m,0-1,S M T W T F S
Katowice Airport,KTW,Varna,VAR,Ryanair,1h 55m,0-1,S M T W T F S
Katowice Airport,KTW,Zadar Airport,ZAD,Ryanair,1h 40m,0-1,S M T W T F S
Katowice Airport,KTW,Trapani Birgi,TPS,Ryanair,2h 30m,0-1,S M T W T F S
Katowice Airport,KTW,Naples International Airport,NAP,Wizz Air,2h 5m,0-1,S M T W T F S
Katowice Airport,KTW,Málaga Airport,AGP,Wizz Air,3h 40m,0-1,S M T W T F S
Katowice Airport,KTW,Heraklion International Airport,HER,Karinou Airlines,2h 40m,0-1,S M T W T F S
Katowice Airport,KTW,Zayed International Airport,AUH,Wizz Air,5h 45m,0-1,S M T W T F S
Katowice Airport,KTW,Fuerteventura Airport,FUE,Wizz Air,5h 35m,0-1,S M T W T F S
Katowice Airport,KTW,Forli,FRL,Ryanair,1h 45m,0-1,S M T W T F S
Katowice Airport,KTW,Dubrovnik Airport,DBV,Ryanair,1h 45m,0-1,S M T W T F S
Katowice Airport,KTW,Corfu International Airport,CFU,Wizz Air,2h 10m,0-1,S M T W T F S
Katowice Airport,KTW,Budapest Ferenc Liszt International Airport,BUD,Ryanair,1h 10m,0-1,S M T W T F S
Katowice Airport,KTW,Pula,PUY,Ryanair,1h 35m,0-1,S M T W T F S
Katowice Airport,KTW,Faro Airport,FAO,Wizz Air,4h 5m,1,S M T W T F S
Katowice Airport,KTW,Inezgane Airport,AGA,Wizz Air,4h 25m,per day,S M T W T F S
Katowice Airport,KTW,Ohrid,OHD,Wizz Air,2h 5m,per day,S M T W T F S
Katowice Airport,KTW,Casale,BDS,Wizz Air,2h 0m,per day,S M T W T F S
Katowice Airport,KTW,Billund Airport,BLL,Wizz Air,1h 45m,per day,S M T W T F S
Katowice Airport,KTW,Lamezia Terme,SUF,Wizz Air,2h 15m,per day,S M T W T F S
Katowice Airport,KTW,Brasov Ghimbav Airport,GHV,Wizz Air,1h 25m,per day,S M T W T F S
Katowice Airport,KTW,Maastricht,MST,Wizz Air,1h 55m,per day,S M T W T F S
Katowice Airport,KTW,Porto Airport,OPO,Wizz Air,3h 45m,per day,S M T W T F S

